tc_EPID,tc_EquipmentGroupID,tc_EquipmentUnitID,tc_ExpDurationHrs,tc_ExpEPCount,tc_ExpEndDatetime,tc_ExpStartDatetime,tc_ExperimentID,tc_Latitude,tc_Longitude,tc_C1MassFlow,tc_C1MassFlowUncertainty
4T-32,4T,4T-3,5.5,1,2022-05-16 05:50:41+00:00,2022-05-16 00:20:41+00:00,20220516001,40.5958375,-105.1398447,3119.089351,265.7058687
4T-12,4T,4T-1,3,1,2022-05-14 16:50:31+00:00,2022-05-14 13:50:31+00:00,20220514001,40.595764,-105.1399033,6110.332422,224.8817303
5W-13,5W,5W-1,7.999722222,1,2022-05-14 10:31:42+00:00,2022-05-14 02:31:43+00:00,20220513004,40.59561533,-105.1394182,567.581338,33.93338971
5W-13,5W,5W-1,6.500277778,1,2022-05-12 07:31:26+00:00,2022-05-12 01:01:25+00:00,20220511006,40.59561533,-105.1394182,538.2606027,32.92025303
4W-22,4W,4W-2,8,1,2022-05-08 07:47:53+00:00,2022-05-07 23:47:53+00:00,20220507004,40.59595283,-105.1402622,566.4735518,40.40300194
5W-11,5W,5W-1,5,1,2022-05-06 11:24:05+00:00,2022-05-06 06:24:05+00:00,20220505007,40.59561783,-105.1394243,756.6171257,31.69064526
4T-32,4T,4T-3,1.5,1,2022-05-03 20:52:53+00:00,2022-05-03 19:22:53+00:00,20220503005,40.5958375,-105.1398447,2765.477063,209.4447158
4T-12,4T,4T-1,0.75,1,2022-05-02 22:22:45+00:00,2022-05-02 21:37:45+00:00,20220502008,40.595764,-105.1399033,6394.859754,305.3249692
4W-15,4W,4W-1,6.999722222,1,2022-05-01 05:35:35+00:00,2022-04-30 22:35:36+00:00,20220430004,40.59594217,-105.1402197,852.5696339,103.9174108
4T-31,4T,4T-3,2.25,1,2022-04-30 20:35:32+00:00,2022-04-30 18:20:32+00:00,20220430002,40.59583017,-105.139824,2091.773581,161.55686
5W-13,5W,5W-1,7.999722222,1,2022-04-29 10:04:31+00:00,2022-04-29 02:04:32+00:00,20220428005,40.59561533,-105.1394182,530.4823637,32.51688314
5S-12,5S,5S-1,1.75,1,2022-04-26 20:19:01+00:00,2022-04-26 18:34:01+00:00,20220426003,40.59591783,-105.1393697,1702.201876,74.18085754
4T-32,4T,4T-3,1.000277778,1,2022-04-25 13:55:31+00:00,2022-04-25 12:55:30+00:00,20220422019,40.5958375,-105.1398447,2877.957998,196.4614229
4W-54,4W,4W-5,8,1,2022-04-25 07:55:27+00:00,2022-04-24 23:55:27+00:00,20220422017,40.59593983,-105.1403915,602.4703833,55.06903329
5S-36,5S,5S-3,8,1,2022-04-24 16:55:20+00:00,2022-04-24 08:55:20+00:00,20220422013,40.59593683,-105.1394157,425.1455793,69.52209939
5W-11,5W,5W-1,7,1,2022-04-24 04:55:17+00:00,2022-04-23 21:55:17+00:00,20220422011,40.59561783,-105.1394243,704.7147183,38.31661286
4T-32,4T,4T-3,1.749722222,1,2022-04-22 21:40:03+00:00,2022-04-22 19:55:04+00:00,20220422003,40.5958375,-105.1398447,2163.283374,159.2347016
5W-13,5W,5W-1,5.472777778,1,2022-04-18 14:32:35+00:00,2022-04-18 09:04:13+00:00,20220417008,40.59561533,-105.1394182,608.0174357,115.1019423
5W-13,5W,5W-1,5.5,1,2022-04-16 23:50:51+00:00,2022-04-16 18:20:51+00:00,20220416005,40.59561533,-105.1394182,652.9458662,74.56634196
4T-31,4T,4T-3,2.500277778,1,2022-04-16 01:11:33+00:00,2022-04-15 22:41:32+00:00,20220415009,40.59583017,-105.139824,2128.072193,192.8961218
4S-43,4S,4S-4,1,2,2022-04-15 11:56:18+00:00,2022-04-15 10:56:18+00:00,20220415003,40.59564283,-105.1403473,2758.960134,196.3611512
4T-32,4T,4T-3,1,2,2022-04-12 20:48:32+00:00,2022-04-12 19:48:32+00:00,20220412003,40.5958375,-105.1398447,3244.062451,169.9274853
4W-31,4W,4W-3,7.183333333,4,2022-04-12 13:48:25+00:00,2022-04-12 06:37:25+00:00,20220411010,40.595948,-105.1403037,611.8060352,36.83456781
4S-43,4S,4S-4,0.999722222,1,2022-04-11 22:56:21+00:00,2022-04-11 21:56:22+00:00,20220411006,40.59564283,-105.1403473,4457.405126,157.981715
5S-35,5S,5S-3,6,2,2022-04-09 10:03:29+00:00,2022-04-09 04:03:29+00:00,20220408006,40.59593867,-105.1394113,172.4485421,34.97372841
4T-31,4T,4T-3,3.683333333,3,2022-04-09 01:03:24+00:00,2022-04-08 21:22:24+00:00,20220408004,40.59583017,-105.139824,1284.817444,59.7254782
4S-42,4S,4S-4,2.683333333,3,2022-04-07 00:08:42+00:00,2022-04-06 21:27:42+00:00,20220406005,40.59566533,-105.1403468,1008.689352,33.58952572
4T-32,4T,4T-3,1.5,2,2022-04-04 18:43:23+00:00,2022-04-04 17:13:23+00:00,20220404005,40.5958375,-105.1398447,848.7405472,134.0278099
5S-21,5S,5S-2,3,2,2022-04-04 05:57:24+00:00,2022-04-04 02:57:24+00:00,20220404001,40.59593583,-105.1393965,527.0427954,43.65436757
5S-14,5S,5S-1,3.183333333,3,2022-04-01 20:43:02+00:00,2022-04-01 17:32:02+00:00,20220401004,40.59590333,-105.1393615,670.8545232,28.73231278
4T-32,4T,4T-3,3,2,2022-04-01 02:52:07+00:00,2022-03-31 23:52:07+00:00,20220331004,40.5958375,-105.1398447,41.45913857,68.65455967
4S-43,4S,4S-4,2.683333333,3,2022-03-31 00:46:01+00:00,2022-03-30 22:05:01+00:00,20220330004,40.59564283,-105.1403473,1891.319489,95.52120759
4T-32,4T,4T-3,3.000277778,2,2022-03-30 16:53:52+00:00,2022-03-30 13:53:51+00:00,20220329011,40.5958375,-105.1398447,1613.527354,206.6534345
4S-43,4S,4S-4,2.183333333,3,2022-03-29 23:42:40+00:00,2022-03-29 21:31:40+00:00,20220329005,40.59564283,-105.1403473,1867.878351,212.9867036
4T-31,4T,4T-3,4.903611111,4,2022-03-29 19:31:39+00:00,2022-03-29 14:37:26+00:00,20220329003,40.59583017,-105.139824,205.1119384,3.739375926
4S-41,4S,4S-4,4.183333333,5,2022-03-29 09:19:48+00:00,2022-03-29 05:08:48+00:00,20220329001,40.595668,-105.1403495,158.4723763,3.243896836
5W-11,5W,5W-1,5,2,2022-03-29 02:38:46+00:00,2022-03-28 21:38:46+00:00,20220328003,40.59561783,-105.1394243,195.4507473,6.17970972
5W-23,5W,5W-2,4.683333333,4,2022-03-28 19:38:45+00:00,2022-03-28 14:57:45+00:00,20220328001,40.5956435,-105.1393938,52.82348078,2.960588897
4T-31,4T,4T-3,4.683333333,4,2022-03-28 19:38:45+00:00,2022-03-28 14:57:45+00:00,20220328001,40.59583017,-105.139824,204.6459789,4.025369841
5W-23,5W,5W-2,3.183611111,4,2022-03-26 01:55:18+00:00,2022-03-25 22:44:17+00:00,20220325009,40.5956435,-105.1393938,47.68036128,2.688171678
4T-31,4T,4T-3,3.183611111,4,2022-03-26 01:55:18+00:00,2022-03-25 22:44:17+00:00,20220325009,40.59583017,-105.139824,188.3469109,5.228781332
4T-31,4T,4T-3,3,2,2022-03-25 19:16:50+00:00,2022-03-25 16:16:50+00:00,20220325006,40.59583017,-105.139824,1200.09771,136.0701908
4T-12,4T,4T-1,1.000277778,1,2022-03-25 09:46:42+00:00,2022-03-25 08:46:41+00:00,20220325002,40.595764,-105.1399033,3286.458577,201.5053307
5W-18,5W,5W-1,5.183611111,4,2022-03-25 06:46:39+00:00,2022-03-25 01:35:38+00:00,20220324004,40.595623,-105.1394388,486.5347474,28.15800282
4S-41,4S,4S-4,5.183611111,4,2022-03-25 06:46:39+00:00,2022-03-25 01:35:38+00:00,20220324004,40.595668,-105.1403495,157.359901,6.235071529
5W-110,5W,5W-1,3.683333333,3,2022-03-24 21:22:03+00:00,2022-03-24 17:41:03+00:00,20220324001,40.59562167,-105.139431,674.0654496,29.60512556
5W-23,5W,5W-2,4.683333333,5,2022-03-24 04:40:51+00:00,2022-03-23 23:59:51+00:00,20220323005,40.5956435,-105.1393938,545.4478591,28.79101645
5W-18,5W,5W-1,3.183333333,3,2022-03-23 21:59:46+00:00,2022-03-23 18:48:46+00:00,20220323003,40.595623,-105.1394388,939.1291397,32.69492455
5W-110,5W,5W-1,4.183333333,4,2022-03-22 23:56:29+00:00,2022-03-22 19:45:29+00:00,20220322002,40.59562167,-105.139431,639.5914084,29.87898609
5W-13,5W,5W-1,5.183333333,5,2022-03-17 11:20:50+00:00,2022-03-17 06:09:50+00:00,20220316007,40.59561533,-105.1394182,278.7624709,31.69953561
5S-14,5S,5S-1,3.042222222,3,2022-03-16 18:28:41+00:00,2022-03-16 15:26:09+00:00,20220316001,40.59590333,-105.1393615,685.5665711,29.32657804
5S-15,5S,5S-1,6,2,2022-03-16 12:10:55+00:00,2022-03-16 06:10:55+00:00,20220315011,40.59591267,-105.1393538,490.4237817,30.51294209
4T-32,4T,4T-3,2.999722222,2,2022-03-14 09:23:56+00:00,2022-03-14 06:23:57+00:00,20220314003,40.5958375,-105.1398447,1353.121809,154.9150303
4T-32,4T,4T-3,3,2,2022-03-13 14:06:35+00:00,2022-03-13 11:06:35+00:00,20220312009,40.5958375,-105.1398447,846.8182212,149.4603057
4W-31,4W,4W-3,8.183333333,5,2022-03-12 05:06:20+00:00,2022-03-11 20:55:20+00:00,20220311008,40.595948,-105.1403037,157.5332522,4.180385237
4S-44,4S,4S-4,8.183333333,5,2022-03-12 05:06:20+00:00,2022-03-11 20:55:20+00:00,20220311008,40.59564683,-105.1403532,41.68276627,3.753591743
4T-31,4T,4T-3,2,1,2022-03-08 22:08:05+00:00,2022-03-08 20:08:05+00:00,20220308007,40.59583017,-105.139824,986.3006839,148.1747792
4S-42,4S,4S-4,1.933055556,3,2022-03-08 06:57:21+00:00,2022-03-08 05:01:22+00:00,20220308003,40.59566533,-105.1403468,1324.208319,60.77435446
4W-32,4W,4W-3,1.999722222,1,2022-03-07 15:18:00+00:00,2022-03-07 13:18:01+00:00,20220307006,40.595947,-105.140307,1203.061633,78.85010214
5W-18,5W,5W-1,2.183333333,3,2022-03-06 13:15:07+00:00,2022-03-06 11:04:07+00:00,20220306005,40.595623,-105.1394388,1326.118512,59.42473493
4S-41,4S,4S-4,2.183055556,3,2022-03-05 19:34:24+00:00,2022-03-05 17:23:25+00:00,20220305005,40.595668,-105.1403495,974.8754159,58.27873485
4W-54,4W,4W-5,2.5,1,2022-03-05 11:08:21+00:00,2022-03-05 08:38:21+00:00,20220305001,40.59593983,-105.1403915,793.8242695,28.96645069
4T-32,4T,4T-3,1.75,1,2022-03-04 18:38:06+00:00,2022-03-04 16:53:06+00:00,20220304001,40.5958375,-105.1398447,2119.793405,87.77515752
4T-32,4T,4T-3,1.5,1,2022-03-04 11:38:00+00:00,2022-03-04 10:08:00+00:00,20220303009,40.5958375,-105.1398447,2855.407401,124.9502741
4T-32,4T,4T-3,1.75,1,2022-03-03 22:37:47+00:00,2022-03-03 20:52:47+00:00,20220303003,40.5958375,-105.1398447,2723.255885,100.1315207
4T-31,4T,4T-3,1.433333333,3,2022-03-03 15:22:41+00:00,2022-03-03 13:56:41+00:00,20220302020,40.59583017,-105.139824,2001.7289,63.92035921
4S-42,4S,4S-4,1.433333333,3,2022-03-03 15:22:41+00:00,2022-03-03 13:56:41+00:00,20220302020,40.59566533,-105.1403468,1431.64758,64.87387348
4W-27,4W,4W-2,2.500277778,1,2022-02-28 03:58:52+00:00,2022-02-28 01:28:51+00:00,20220227002,40.59593483,-105.1402633,896.2533489,45.37993083
5S-12,5S,5S-1,2,1,2022-02-27 19:28:42+00:00,2022-02-27 17:28:42+00:00,20220226020,40.59591783,-105.1393697,899.3824568,32.56571432
5W-31,5W,5W-3,1.5,1,2022-02-26 22:36:26+00:00,2022-02-26 21:06:26+00:00,20220226010,40.59568017,-105.1393735,1159.657084,52.54192181
4W-12,4W,4W-1,3.183333333,3,2022-02-26 19:06:23+00:00,2022-02-26 15:55:23+00:00,20220226008,40.59593383,-105.1402173,590.1182539,29.45293872
4T-32,4T,4T-3,3.183333333,3,2022-02-26 19:06:23+00:00,2022-02-26 15:55:23+00:00,20220226008,40.5958375,-105.1398447,630.4842272,29.92790255
5W-22,5W,5W-2,2.183333333,3,2022-02-26 05:14:18+00:00,2022-02-26 03:03:18+00:00,20220226002,40.595653,-105.1393917,755.5904909,29.18728113
5S-14,5S,5S-1,2.5,2,2022-02-25 23:24:15+00:00,2022-02-25 20:54:15+00:00,20220225007,40.59590333,-105.1393615,1336.334427,32.91286196
4S-22,4S,4S-2,2.5,2,2022-02-25 23:24:15+00:00,2022-02-25 20:54:15+00:00,20220225007,40.59566267,-105.1402618,669.2371553,47.94209036
5W-22,5W,5W-2,2.499722222,2,2022-02-25 18:24:11+00:00,2022-02-25 15:54:12+00:00,20220225005,40.595653,-105.1393917,775.4895716,56.79747772
4W-15,4W,4W-1,2.000277778,2,2022-02-25 04:41:10+00:00,2022-02-25 02:41:09+00:00,20220224009,40.59594217,-105.1402197,1193.064056,53.87721983
4W-12,4W,4W-1,2.000277778,2,2022-02-21 20:33:19+00:00,2022-02-21 18:33:18+00:00,20220221002,40.59593383,-105.1402173,720.6947589,60.43050159
5S-32,5S,5S-3,2.183333333,4,2022-02-20 23:42:25+00:00,2022-02-20 21:31:25+00:00,20220220005,40.595943,-105.1394298,860.4400723,35.19566036
4T-11,4T,4T-1,3,2,2022-02-19 17:05:06+00:00,2022-02-19 14:05:06+00:00,20220219001,40.59575067,-105.1398913,671.6569403,45.13152873
4T-32,4T,4T-3,2.183333333,5,2022-02-18 23:23:58+00:00,2022-02-18 21:12:58+00:00,20220218011,40.5958375,-105.1398447,966.4713731,60.78600856
5W-34,5W,5W-3,2.683333333,4,2022-02-18 07:44:09+00:00,2022-02-18 05:03:09+00:00,20220218002,40.59568717,-105.1393902,73.50971223,31.22275886
5S-34,5S,5S-3,2,2,2022-02-17 00:58:35+00:00,2022-02-16 22:58:35+00:00,20220216008,40.5959345,-105.1394178,717.8332836,41.75984593
4W-32,4W,4W-3,2,2,2022-02-17 00:58:35+00:00,2022-02-16 22:58:35+00:00,20220216008,40.595947,-105.140307,757.5630072,45.56116651
4W-22,4W,4W-2,4.183333333,4,2022-02-16 13:17:28+00:00,2022-02-16 09:06:28+00:00,20220216004,40.59595283,-105.1402622,507.5815803,29.2312007
5W-18,5W,5W-1,5.183333333,4,2022-02-15 09:37:52+00:00,2022-02-15 04:26:52+00:00,20220215001,40.595623,-105.1394388,357.7287767,29.32259026
4S-42,4S,4S-4,1.183333333,4,2022-02-14 20:39:49+00:00,2022-02-14 19:28:49+00:00,20220214001,40.59566533,-105.1403468,1177.560027,87.07006465
5S-15,5S,5S-1,2.000277778,3,2022-02-09 19:19:24+00:00,2022-02-09 17:19:23+00:00,20220209001,40.59591267,-105.1393538,393.1927618,38.52681112
4W-22,4W,4W-2,2.184166667,3,2022-02-09 07:19:13+00:00,2022-02-09 05:08:10+00:00,20220208009,40.59595283,-105.1402622,171.3531199,3.382999676
5W-11,5W,5W-1,3.184166667,4,2022-02-08 05:08:01+00:00,2022-02-08 01:56:58+00:00,20220208001,40.59561783,-105.1394243,303.200169,27.09397282
4T-31,4T,4T-3,2.500277778,2,2022-02-07 23:56:49+00:00,2022-02-07 21:26:48+00:00,20220207003,40.59583017,-105.139824,839.41849,137.7647984
4T-31,4T,4T-3,1.500555556,2,2022-02-07 19:26:41+00:00,2022-02-07 17:56:39+00:00,20220207001,40.59583017,-105.139824,846.0113603,143.3412392
4T-31,4T,4T-3,2.000555556,2,2022-02-07 04:07:49+00:00,2022-02-07 02:07:47+00:00,20220206005,40.59583017,-105.139824,127.4028594,3.375794288
4W-54,4W,4W-5,2.184722222,3,2022-02-06 04:26:44+00:00,2022-02-06 02:15:39+00:00,20220205003,40.59593983,-105.1403915,189.8869671,3.289637298
5W-18,5W,5W-1,3.000277778,2,2022-02-05 19:15:20+00:00,2022-02-05 16:15:19+00:00,20220204009,40.595623,-105.1394388,252.9252109,5.448392814
4S-12,4S,4S-1,2.000277778,2,2022-02-05 04:15:09+00:00,2022-02-05 02:15:08+00:00,20220204007,40.59561917,-105.1402258,119.7228505,7.981597844
4W-15,4W,4W-1,1.891111111,2,2022-02-04 23:13:55+00:00,2022-02-04 21:20:27+00:00,20220204004,40.59594217,-105.1402197,561.1807553,28.65426166
4W-31,4W,4W-3,2.000277778,2,2022-02-02 03:59:34+00:00,2022-02-02 01:59:33+00:00,20220201005,40.595948,-105.1403037,233.0548415,11.37815094
4S-43,4S,4S-4,4.499722222,1,2022-05-15 21:22:25+00:00,2022-05-15 16:52:26+00:00,20220515001,40.59564283,-105.1403473,4401.213736,157.705787
5W-22,5W,5W-2,7.999722222,1,2022-05-15 10:50:38+00:00,2022-05-15 02:50:39+00:00,20220514007,40.595653,-105.1393917,948.5965692,38.46182411
4S-23,4S,4S-2,4,1,2022-05-14 22:50:34+00:00,2022-05-14 18:50:34+00:00,20220514004,40.59563067,-105.1402638,5311.601463,188.0461421
4W-27,4W,4W-2,3.5,1,2022-05-13 23:31:39+00:00,2022-05-13 20:01:39+00:00,20220513002,40.59593483,-105.1402633,4410.116107,183.1809291
5S-21,5S,5S-2,6.000277778,1,2022-05-13 07:31:33+00:00,2022-05-13 01:31:32+00:00,20220512005,40.59593583,-105.1393965,708.4996639,38.75034498
4W-43,4W,4W-4,4,1,2022-05-12 16:01:27+00:00,2022-05-12 12:01:27+00:00,20220511008,40.59594067,-105.1403488,3711.080694,147.9076819
4W-43,4W,4W-4,4.504444444,1,2022-05-11 23:01:24+00:00,2022-05-11 18:31:08+00:00,20220511004,40.59594067,-105.1403488,2114.31044,154.6594822
4T-12,4T,4T-1,1.877777778,1,2022-05-10 22:21:19+00:00,2022-05-10 20:28:39+00:00,20220510001,40.595764,-105.1399033,3191.070581,155.1092871
5S-21,5S,5S-2,8,1,2022-05-10 05:49:57+00:00,2022-05-09 21:49:57+00:00,20220509004,40.59593583,-105.1393965,674.5609704,36.00932557
5S-23,5S,5S-2,6.5,1,2022-05-09 08:48:02+00:00,2022-05-09 02:18:02+00:00,20220508005,40.59592817,-105.1394038,654.9817962,33.06688833
5S-36,5S,5S-3,7.999722222,1,2022-05-08 18:47:56+00:00,2022-05-08 10:47:57+00:00,20220508001,40.59593683,-105.1394157,472.3012658,54.66449261
4S-33,4S,4S-3,0.5,1,2022-05-06 14:54:09+00:00,2022-05-06 14:24:09+00:00,20220505009,40.595665,-105.1403025,5346.658094,167.1147968
5S-23,5S,5S-2,4.250277778,1,2022-05-06 03:24:04+00:00,2022-05-05 23:09:03+00:00,20220505005,40.59592817,-105.1394038,632.3664715,41.94798752
5S-36,5S,5S-3,7.000277778,1,2022-05-05 05:07:50+00:00,2022-05-04 22:07:49+00:00,20220504005,40.59593683,-105.1394157,438.4894273,59.57795846
5S-23,5S,5S-2,4.75,1,2022-05-03 12:37:47+00:00,2022-05-03 07:52:47+00:00,20220503001,40.59592817,-105.1394038,543.9344672,113.5549738
4W-47,4W,4W-4,8.249722222,1,2022-05-02 08:21:55+00:00,2022-05-02 00:06:56+00:00,20220502001,40.59595267,-105.1403517,570.589876,58.49802665
4T-31,4T,4T-3,2.25,1,2022-05-01 20:05:44+00:00,2022-05-01 17:50:44+00:00,20220430008,40.59583017,-105.139824,1844.697173,149.8525997
5S-21,5S,5S-2,7.249722222,1,2022-05-01 15:50:39+00:00,2022-05-01 08:35:40+00:00,20220430006,40.59593583,-105.1393965,524.8428613,96.98454087
5S-21,5S,5S-2,6.249722222,2,2022-04-30 09:35:51+00:00,2022-04-30 03:20:52+00:00,20220429009,40.59593583,-105.1393965,541.6500221,118.0016848
4S-23,4S,4S-2,1.25,1,2022-04-28 23:04:27+00:00,2022-04-28 21:49:27+00:00,20220428003,40.59563067,-105.1402638,2626.348355,175.2834505
4T-12,4T,4T-1,0.75,1,2022-04-28 19:19:23+00:00,2022-04-28 18:34:23+00:00,20220428001,40.595764,-105.1399033,4589.638846,236.9965816
4W-15,4W,4W-1,7.5,1,2022-04-28 16:34:20+00:00,2022-04-28 09:04:20+00:00,20220427005,40.59594217,-105.1402197,827.1787902,107.9611958
5S-21,5S,5S-2,7.5,1,2022-04-28 07:04:18+00:00,2022-04-27 23:34:18+00:00,20220427003,40.59593583,-105.1393965,660.6003728,42.85008254
4S-23,4S,4S-2,0.5,1,2022-04-27 16:34:12+00:00,2022-04-27 16:04:12+00:00,20220426009,40.59563067,-105.1402638,5309.676529,272.2239795
5W-13,5W,5W-1,6.5,2,2022-04-27 05:49:05+00:00,2022-04-26 23:19:05+00:00,20220426005,40.59561533,-105.1394182,313.5175894,33.58580131
4T-22,4T,4T-2,0.75,1,2022-04-26 16:33:57+00:00,2022-04-26 15:48:57+00:00,20220426001,40.59579867,-105.1398733,5325.421454,245.5460142
4T-11,4T,4T-1,1,1,2022-04-25 20:25:38+00:00,2022-04-25 19:25:38+00:00,20220422023,40.59575067,-105.1398913,3668.811312,174.4753712
4S-21,4S,4S-2,1.500277778,1,2022-04-25 17:25:33+00:00,2022-04-25 15:55:32+00:00,20220422021,40.59566467,-105.1402658,1852.148364,161.8935309
4S-33,4S,4S-3,1,1,2022-04-24 19:55:23+00:00,2022-04-24 18:55:23+00:00,20220422015,40.595665,-105.1403025,2635.113087,160.7648373
5S-23,5S,5S-2,6,1,2022-04-23 16:40:12+00:00,2022-04-23 10:40:12+00:00,20220422007,40.59592817,-105.1394038,628.9366412,37.18950585
4W-22,4W,4W-2,7.999722222,1,2022-04-23 08:40:07+00:00,2022-04-23 00:40:08+00:00,20220422005,40.59595283,-105.1402622,469.9130119,450.6490869
4W-54,4W,4W-5,7.25,1,2022-04-22 06:33:25+00:00,2022-04-21 23:18:25+00:00,20220421005,40.59593983,-105.1403915,593.5802298,42.17082072
4S-21,4S,4S-2,1.75,2,2022-04-21 20:48:20+00:00,2022-04-21 19:03:20+00:00,20220421003,40.59566467,-105.1402658,1779.468091,150.6095847
4T-22,4T,4T-2,0.750277778,1,2022-04-21 17:03:17+00:00,2022-04-21 16:18:16+00:00,20220421001,40.59579867,-105.1398733,5281.493792,264.5961592
5S-23,5S,5S-2,5.5,1,2022-04-21 13:18:12+00:00,2022-04-21 07:48:12+00:00,20220420008,40.59592817,-105.1394038,587.4120503,38.35225095
4W-26,4W,4W-2,6.75,1,2022-04-21 05:18:09+00:00,2022-04-20 22:33:09+00:00,20220420006,40.59592967,-105.1402628,598.6401116,40.70937422
4S-21,4S,4S-2,1.5,2,2022-04-20 17:03:00+00:00,2022-04-20 15:33:00+00:00,20220419009,40.59566467,-105.1402658,1819.934105,155.803525
4W-22,4W,4W-2,7,1,2022-04-20 13:32:56+00:00,2022-04-20 06:32:56+00:00,20220419007,40.59595283,-105.1402622,572.3596711,40.87641809
5W-11,5W,5W-1,5.5,1,2022-04-20 03:32:53+00:00,2022-04-19 22:02:53+00:00,20220419005,40.59561783,-105.1394243,651.4587041,39.20249343
4S-33,4S,4S-3,0.5,1,2022-04-19 20:02:49+00:00,2022-04-19 19:32:49+00:00,20220419003,40.595665,-105.1403025,4264.838549,202.0127838
4T-32,4T,4T-3,1.500277778,1,2022-04-19 17:32:45+00:00,2022-04-19 16:02:44+00:00,20220419001,40.5958375,-105.1398447,2849.156778,192.4391415
4W-22,4W,4W-2,5.749722222,1,2022-04-19 13:02:40+00:00,2022-04-19 07:17:41+00:00,20220418009,40.59595283,-105.1402622,536.1759445,81.24724853
5S-23,5S,5S-2,5.5,1,2022-04-19 05:17:39+00:00,2022-04-18 23:47:39+00:00,20220418007,40.59592817,-105.1394038,596.370185,54.39162521
5W-32,5W,5W-3,2.500277778,2,2022-04-18 21:17:38+00:00,2022-04-18 18:47:37+00:00,20220418005,40.59567883,-105.1393703,1734.722127,55.41508245
4W-22,4W,4W-2,2.500277778,2,2022-04-18 21:17:38+00:00,2022-04-18 18:47:37+00:00,20220418005,40.59595283,-105.1402622,670.1508682,32.94981331
4S-23,4S,4S-2,0.499722222,2,2022-04-18 16:47:36+00:00,2022-04-18 16:17:37+00:00,20220418003,40.59563067,-105.1402638,2080.036347,161.5133658
5S-21,5S,5S-2,5.5,1,2022-04-18 06:04:07+00:00,2022-04-18 00:34:07+00:00,20220417005,40.59593583,-105.1393965,684.2620262,40.21879318
4S-31,4S,4S-3,2.750277778,1,2022-04-17 21:34:02+00:00,2022-04-17 18:49:01+00:00,20220417003,40.59564767,-105.1403063,1462.482314,147.8789985
4T-31,4T,4T-3,2.5,1,2022-04-17 16:48:57+00:00,2022-04-17 14:18:57+00:00,20220417001,40.59583017,-105.139824,2169.121372,148.3721303
4S-31,4S,4S-3,3,1,2022-04-16 15:20:48+00:00,2022-04-16 12:20:48+00:00,20220416003,40.59564767,-105.1403063,1478.027526,150.1211191
